,idx,name,area,countingDirection,day,count,date_jst,week,time,is_holiday_x,0,is_holiday_y,is_edge_holiday
145,145,bus,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
146,146,bus,conv_crossing_left_car,leftright_topbottom,2021-11-11,2,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
147,147,bus,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,1,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
148,148,bus,conv_crossing_right_car,rightleft_bottomtop,2021-11-11,4,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
149,149,car,conv_crossing_far_car,leftright_topbottom,2021-11-11,101,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
150,150,car,conv_crossing_far_car,rightleft_bottomtop,2021-11-11,66,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
151,151,car,conv_crossing_far_person,leftright_topbottom,2021-11-11,33,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
152,152,car,conv_crossing_far_person,rightleft_bottomtop,2021-11-11,40,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
153,153,car,conv_crossing_left_car,leftright_topbottom,2021-11-11,111,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
154,154,car,conv_crossing_left_car,rightleft_bottomtop,2021-11-11,56,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
155,155,car,conv_crossing_left_person,leftright_topbottom,2021-11-11,5,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
156,156,car,conv_crossing_left_person,rightleft_bottomtop,2021-11-11,5,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
157,157,car,conv_crossing_parking,leftright_topbottom,2021-11-11,4,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
158,158,car,conv_crossing_parking,rightleft_bottomtop,2021-11-11,29,2021-11-11 12:00:00,木曜,12,False,2021-11-11,False,0
